product name,brand,price,number of colors/scent,rating
'Tarteist PRO Glow To Go Highlight &amp; Contour Palette','Tarte',$19.00,0,4.60
'Serafina Blush','Juvia's Place',$8.00,0,4.90
'Step-By-Step Contour Kit','Smashbox',$35.00,0,4.10
'Age Smart Skin Perfect Primer SPF 30','Dermalogica',$53.00,0,4.60
'Hi Definition Photo Concealer Wand','NYX Professional Makeup',$6.00,22,4.10
'8W Warm Master Blush Palette','Morphe',$22.00,0,4.60
'Your Most Beautiful You Anti-Aging Face Palette','It Cosmetics',$38.00,0,4.60
'Prep + Prime Fix+ Shimmer','MAC',$27.00,2,4.00
'Bronzing Powder','NARS',$40.00,2,4.70
'Online Only No Poreblem Priming Water','Touch In Sol',$23.00,0,3.80
'Long Time No Shine loose Setting Powder','Lancôme',$37.00,2,4.50
'Cover Creme Full Coverage Foundation','Dermablend',$39.00,20,4.10
'Boi-ing Brightening Concealer','Benefit Cosmetics',$22.00,3,4.00
'Eyelift In A Tube','It Cosmetics',$29.00,4,4.20
'Photo Finish Foundation Primer Light','Smashbox',$36.00,0,4.30
'Baby Skin Instant Pore Eraser Primer','Maybelline',$6.99,0,3.70
'SkinActive Micellar Cleansing Water All-in-1 Cleanser &amp; Makeup Remover','Garnier',$3.99 - $8.99,3,4.50
'Baked Gelato Swirl Illuminator','Laura Geller',$13.00,2,4.60
'True Match Super-Blendable Foundation Makeup','L'Oréal',$10.95 - $10.99,43,4.10
'Stick Foundation','Anastasia Beverly Hills',$25.00,30,3.70
'Highlight &amp; Contour Pro Palette','NYX Professional Makeup',$25.00,0,4.30
'Mad for Mauve Blush Palette','ULTA',$18.00,0,4.50
'High-Impact Highlighter','Too Faced',$30.00,0,4.60
'Flawless Finish Foundation','e.l.f. Cosmetics',$6.00,12,3.70
'Sugar Glow Kit','Anastasia Beverly Hills',$40.00,0,4.70
'Amazonian Clay 12-Hour Waterproof Concealer','Tarte',$25.00,10,4.30
'Fit Me Dewy + Smooth Foundation','Maybelline',$7.99,24,3.90
'Baked Bronzer','ULTA',$10.00,0,4.50
'Perfect Setting Powder Mini','COVER FX',$14.00,2,4.10
'Stay Matte Powder Foundation','NYX Professional Makeup',$9.50,15,4.20
'Mineralize Skinfinish','MAC',$35.00,3,4.60
'UV Expert Mineral CC Cream SPF 50','Lancôme',$39.00,5,4.10
'Correcting Concealer Broad Spectrum SPF 20','BareMinerals',$22.00,8,4.40
'Pore Filler','NYX Professional Makeup',$14.00,0,3.90
'POREfection Baked Perfecting Powder','LORAC',$33.00,6,4.40
'Skin Perfecting Powder Bronzing Act Matte Bronzer','PÜR',$26.00,2,4.90
'CliniqueFIT Workout Makeup Broad Spectrum SPF 40','Clinique',$29.50,7,4.20
'Online Only Island Time Blush','Ofra Cosmetics',$21.75,2,3.80
'Travel-Size The Original Photo Finish Smooth &amp; Blur Primer','Smashbox',$15.00,0,4.50
'Conceal + Perfect 2-in-1 Foundation + Concealer','Milani',$9.99,23,3.60
'Online Only Blush with Vitamin E','Burt's Bees',$5.99,3,4.70
'Studio Skin Flawless 24 Hour Concealer','Smashbox',$24.00,30,4.10
